,0,1,2
0,0,0,0.7339372634887695
1,0,20,0.6516728032202947
2,0,40,0.313290107540968
3,0,60,0.19799481161305163
4,0,80,0.13723389160485916
5,0,100,0.09799307201168325
6,0,120,0.07033260868600577
7,0,140,0.05080472112547421
8,1,0,0.3050259053707123
9,1,20,0.25549393040793283
10,1,40,0.11405095748785066
11,1,60,0.06874949472849487
12,1,80,0.04671049945884281
13,1,100,0.03528347670441807
14,1,120,0.02762751071906287
15,1,140,0.022207525816369564
16,2,0,0.1680089235305786
17,2,20,0.1369661326919283
18,2,40,0.0697383702528186
19,2,60,0.04617336392402649
20,2,80,0.03399482424612398
21,2,100,0.02647071383377113
22,2,120,0.021969460997699707
23,2,140,0.01799850546299143
24,3,0,0.12264476716518402
25,3,20,0.1130731755069324
26,3,40,0.05926984912011682
27,3,60,0.03858972194253421
28,3,80,0.029441816295370644
29,3,100,0.023102532814044764
30,3,120,0.017965730556771774
31,3,140,0.016048923029121778
32,4,0,0.11432969570159912
33,4,20,0.09793123212598619
34,4,40,0.05178089458041075
35,4,60,0.03345615477835546
36,4,80,0.025333582159177758
37,4,100,0.019512673268223753
38,4,120,0.01673440967709565
39,4,140,0.014366240260448861
40,5,0,0.09495728462934494
41,5,20,0.08699388376304082
42,5,40,0.04436606205091244
43,5,60,0.029297068226532857
44,5,80,0.022596752294051795
45,5,100,0.017133765365227614
46,5,120,0.014029108665206215
47,5,140,0.01188723494609197
48,6,0,0.0928422063589096
49,6,20,0.07674984172696159
50,6,40,0.03799840880603325
51,6,60,0.02555685649152662
52,6,80,0.01952985582160361
53,6,100,0.015706526982312154
54,6,120,0.01323868654483606
55,6,140,0.010416561090354378
56,7,0,0.06658019870519638
57,7,20,0.06411666281166531
58,7,40,0.03360304463563896
59,7,60,0.022898645552455403
60,7,80,0.015955552274798168
61,7,100,0.013447461668217536
62,7,120,0.01072770061571736
63,7,140,0.00918007974928998
64,8,0,0.05346491187810898
65,8,20,0.05709355359985715
66,8,40,0.028490872553935866
67,8,60,0.018642562273584427
68,8,80,0.014373510478087414
69,8,100,0.011360599742372437
70,8,120,0.009564941364132669
71,8,140,0.008073933396144962
,0,1,2
0,0,0,0.04934614896774292
1,0,20,1.066267017275095
2,0,40,1.0149626694619656
3,0,60,0.9770811013877392
4,0,80,0.9908487200737
5,0,100,1.0083767399191856
6,0,120,0.9429577924311161
7,0,140,0.9694692716002464
,0,1,2
0,1,0,0.042136818170547485
1,1,20,0.8522991389036179
2,1,40,0.8823181092739105
3,1,60,0.8480815552175045
4,1,80,0.8499975427985191
5,1,100,0.833150427788496
6,1,120,0.8507919162511826
7,1,140,0.8658130392432213
,0,1,2
0,2,0,0.0475509874522686
1,2,20,0.736642936244607
2,2,40,0.7409611083567142
3,2,60,0.7984705828130245
4,2,80,0.8023909665644169
5,2,100,0.755506370216608
6,2,120,0.7377410978078842
7,2,140,0.7422404866665602
,0,1,2
0,3,0,0.03146352991461754
1,3,20,0.7037239633500576
2,3,40,0.7221301589161158
3,3,60,0.7375628836452961
4,3,80,0.7622199319303036
5,3,100,0.7225901372730732
6,3,120,0.7294064126908779
7,3,140,0.7436615731567144
,0,1,2
0,4,0,0.030172711238265038
1,4,20,0.6557400524616241
2,4,40,0.6409811917692423
3,4,60,0.5973868370056152
4,4,80,0.6121992468833923
5,4,100,0.6603424400091171
6,4,120,0.6023860741406679
7,4,140,0.6028820164501667
,0,1,2
0,5,0,0.02872195839881897
1,5,20,0.5711444653570652
2,5,40,0.5581882037222385
3,5,60,0.567894633859396
4,5,80,0.5468873828649521
5,5,100,0.5786605663597584
6,5,120,0.5563641432672739
7,5,140,0.5943361949175596
,0,1,2
0,15,0,0.022190814837813377
1,15,20,0.030295948187510174
2,15,40,0.029248982395340756
3,15,60,0.02836030456008481
4,15,80,0.027897828660997343
5,15,100,0.02825313373146081
6,15,120,0.02809258430334162
7,15,140,0.02830745299604345
,0,1,2
0,16,0,0.03720388934016228
1,16,20,0.027419437521270344
2,16,40,0.026142954553772763
3,16,60,0.025907707599098564
4,16,80,0.025637600179991605
5,16,100,0.025304722830210583
6,16,120,0.025277080429979594
7,16,140,0.025133086883641305
,0,1,2
0,17,0,0.020073262974619865
1,17,20,0.025917099522692815
2,17,40,0.025745327425439182
3,17,60,0.025097674583313894
4,17,80,0.024544537918251237
5,17,100,0.02434055490585247
6,17,120,0.02438226737820905
7,17,140,0.024399699960300263
,0,1,2
0,18,0,0.023043159395456314
1,18,20,0.021397893272695086
2,18,40,0.021271349816787535
3,18,60,0.02171120139174774
4,18,80,0.0218802254738999
5,18,100,0.02197836818966535
6,18,120,0.0222963453847761
7,18,140,0.022761265885956745
,0,1,2
0,19,0,0.021615056321024895
1,19,20,0.02432678560061114
2,19,40,0.02435940644908242
3,19,60,0.024515845492237905
4,19,80,0.02479613816112648
5,19,100,0.024637252922252852
6,19,120,0.024196429963200546
7,19,140,0.02405169682828247
,0,1,2
0,20,0,0.021198268979787827
1,20,20,0.019378127885006723
2,20,40,0.019769086161764655
3,20,60,0.02011489400976017
4,20,80,0.01981567527041023
5,20,100,0.019503943437691962
6,20,120,0.01934968192161115
7,20,140,0.019251989478126487
,0,1,2
0,21,0,0.016399284824728966
1,21,20,0.016257553893540586
2,21,40,0.01685657170487613
3,21,60,0.016938528656715253
4,21,80,0.01725243161903855
5,21,100,0.01726268722426773
6,21,120,0.017099482461440663
7,21,140,0.017209276880619795
,0,1,2
0,22,0,0.01422717422246933
1,22,20,0.01701980270445347
2,22,40,0.01715230607859245
3,22,60,0.01690696898969959
4,22,80,0.01696782072799073
5,22,100,0.016904082029393995
6,22,120,0.01682360466446512
7,22,140,0.016905277313545665
,0,1,2
0,23,0,0.015511004254221916
1,23,20,0.015608543796198708
2,23,40,0.01556431590693026
3,23,60,0.01566727117436831
4,23,80,0.015732491273938873
5,23,100,0.016151025577789486
6,23,120,0.01647935544471603
7,23,140,0.016788972158592645
,0,1,2
0,24,0,0.01745831035077572
1,24,20,0.016884127410040015
2,24,40,0.017240304545294946
3,24,60,0.017638677944902512
4,24,80,0.01787085640301675
5,24,100,0.018133492070702042
6,24,120,0.018211671959393282
7,24,140,0.01831446127001698
,0,1,2
0,25,0,0.01790361851453781
1,25,20,0.016885244908432167
2,25,40,0.016594218203752505
3,25,60,0.01628870530756282
4,25,80,0.01622624060621968
5,25,100,0.016148701835755664
6,25,120,0.016212642593078377
7,25,140,0.016454148997968817
,0,1,2
0,26,0,0.018849316984415054
1,26,20,0.018247240178641818
2,26,40,0.01772285432259484
3,26,60,0.017264204160844693
4,26,80,0.016872760172887347
5,26,100,0.016629242218366945
6,26,120,0.016409025296630447
7,26,140,0.0161045575844692
,0,1,2
0,27,0,0.012959594838321209
1,27,20,0.013442426520798887
2,27,40,0.013609269384022167
3,27,60,0.013660757344399319
4,27,80,0.013700669286427674
5,27,100,0.01381608542276196
6,27,120,0.013804699086453303
7,27,140,0.013923739426577767
,0,1,2
0,28,0,0.0136542534455657
1,28,20,0.0142238171150287
2,28,40,0.013889267109334469
3,28,60,0.01447191935215817
4,28,80,0.015779992703486373
5,28,100,0.018576409759940488
6,28,120,0.021421147495015593
