,0,1,2
,0,1,2
0,38,0,0.011120136827230453
1,38,20,0.01050544228582155
2,38,40,0.01016315431674806
3,38,60,0.010136068310038965
4,38,80,0.010268334322321562
5,38,100,0.010334040019845609
6,38,120,0.010275353608298893
7,38,140,0.010119528037410045
,0,1,2
0,39,0,0.007856590673327446
1,39,20,0.008465528576856568
2,39,40,0.0084114669276992
3,39,60,0.008445772044665989
4,39,80,0.008509416587328837
5,39,100,0.008535682901481885
6,39,120,0.008584355050313078
7,39,140,0.008532604516371556
,0,1,2
0,40,0,0.008518782444298267
1,40,20,0.007900029930862643
2,40,40,0.008078113300498665
3,40,60,0.008068584608005696
4,40,80,0.007995863985500219
5,40,100,0.007900111188208409
6,40,120,0.007879643916529564
7,40,140,0.007903205755939509
,0,1,2
0,41,0,0.007967211306095123
1,41,20,0.007534486330336048
2,41,40,0.007495425527960789
3,41,60,0.007439078694423203
4,41,80,0.007502171021230795
5,41,100,0.007541394774055127
6,41,120,0.007616178097957668
7,41,140,0.007638801909745373
,0,1,2
0,42,0,0.006125933490693569
1,42,20,0.007617127660307146
2,42,40,0.00783228410816774
3,42,60,0.007910916207694128
4,42,80,0.007806599715057714
5,42,100,0.007775546235982144
6,42,120,0.007717980795409069
7,42,140,0.00767658398229074
,0,1,2
0,43,0,0.011248614639043808
1,43,20,0.007356403351184868
2,43,40,0.007387154394897019
3,43,60,0.007207589911022147
4,43,80,0.007192885376696969
5,43,100,0.0070992122671686775
6,43,120,0.007184309203731866
7,43,140,0.007225215828032992
